selected_features
num_of_customers_and_room_type_mismatch
room_type_reserved_room_type 4
no_of_weekend_nights_scaled
required_car_parking_space
market_segment_type_online
perc_weekday_nights_scaled
no_of_special_requests_scaled
lead_time_scaled
avg_price_per_room_scaled
