selected_features
lead_time_scaled
avg_price_per_room_scaled
no_of_special_requests_scaled
market_segment_type_online
no_of_nights_scaled
no_of_customers_scaled
perc_weekday_nights_scaled
no_of_week_nights_scaled
booking_dayofweek_1
arrival_dayofweek_1
booking_dayofweek_3
required_car_parking_space
booking_dayofweek_2
booking_dayofweek_4
arrival_dayofweek_3
stay_type_mixed
booking_dayofweek_0
booking_dayofweek_5
arrival_dayofweek_5
booking_dayofweek_6
arrival_dayofweek_2
