selected_features
arrival_dayofweek_1
room_type_reserved_room_type 4
type_of_meal_plan_not selected
booking_dayofweek_6
avg_price_per_room_cat_50 to 100
type_of_meal_plan_meal plan 2
booking_dayofweek_5
booking_dayofweek_4
no_of_adults_scaled
no_of_customers_scaled
booking_dayofweek_2
stay_type_mixed
booking_dayofweek_1
no_of_week_nights_scaled
perc_weekday_nights_scaled
required_car_parking_space
num_of_customers_and_room_type_mismatch
no_of_special_requests_scaled
have_special_requests
avg_price_per_room_scaled
market_segment_type_online
lead_time_scaled
